,Title,Score,User_Score,Author,Platform,Genre
0,katana-zero,score-8,999," ""Alessandro Barbosa""","mac-,-ns-,-pc-,ps4-","Platformer,2D,Action"
1,falcon-age,score-8,999," ""Calum Marsh""",ps4-,"v-r,Adventure,Action"
2,pathway,score-6,999," ""David Wildgoose""","lnx-,mac-,-pc-","Strategy,Turn-Based"
3,heavens-vault,score-6,999," ""James O&#039;Connor""","mac-,-pc-,ps4-",Adventure
4,my-time-at-portia,score-6,999," ""Ginny Woo""","mac-,-ns-,-pc-,ps4-,one-",Simulation
5,hellblade-senuas-sacrifice,score-8,7.8," ""Alessandro Fillari""","-ns-,-pc-,ps4-,one-","Action,Adventure,Open-World,3D"
6,earth-defense-force-iron-rain,score-6,999," ""Justin Clark""",ps4-,"Shooter,Third-Person,3D,Action"
7,nintendo-labo-vr-kit,score-7,999," ""Michael Higham""",-ns-,Action
8,weedcraft-inc,score-5,999," ""Cian Maher""","mac-,-pc-","Management,Strategy"
9,zanki-zero-last-beginning,score-6,999," ""Heidi Kemps""","-pc-,ps4-,ita-",Role-Playing
10,dangerous-driving,score-5,999," ""Richard Wakeling""","-pc-,ps4-,one-","Driving-Racing,Arcade"
11,tropico-6,score-8,5.3," ""Daniel Starkey""","lnx-,mac-,-pc-,ps4-,one-","Management,Strategy"
12,mlb-the-show-19,score-9,7.2," ""Richard Wakeling""",ps4-,"Sports,Team-Based,Baseball,Simulation"
13,the-world-next-door,score-6,999," ""Jordan Ramée""","mac-,-ns-,-pc-","Action,Adventure"
14,operencia-the-stolen-sun,score-8,999," ""Cian Maher""","-pc-,one-","Action,Role-Playing"
15,the-walking-dead-the-final-season-episode-4,score-9,8.3," ""Justin Clark""","and-,ios-,mac-,-ns-,-pc-,ps4-,one-",Adventure
16,yoshis-crafted-world,score-8,999," ""Kallie Plagge""",-ns-,"3D,Platformer,Action"
17,baba-is-you,score-7,999," ""Calum Marsh""","lnx-,mac-,-ns-,-pc-","Action,Puzzle"
18,ethereal,score-7,999," ""Alessandro Barbosa""","mac-,-pc-",Puzzle
19,the-division-2,score-9,8.3," ""Edmond Tran""","-pc-,ps4-,one-","Third-Person,Action,Shooter,Tactical"
20,sekiro-shadows-die-twice,score-9,7.5," ""Tamoor Hussain""","-pc-,ps4-,one-","Action,Adventure"
21,hypnospace-outlaw,score-8,999," ""David Wildgoose""","lnx-,mac-,-pc-",Adventure
22,left-alive,score-3,2.4," ""James Swinbanks""","-pc-,ps4-","Action,Adventure"
23,objects-in-space,score-8,999," ""Daniel Starkey""","lnx-,mac-,-pc-",Simulation
24,assault-android-cactus,score-9,7.3," ""James O&#039;Connor""","lnx-,mac-,-ns-,-pc-,ps4-,ita-,one-","2D,Action,Fixed-Screen,Shooter"
25,toejam-and-earl-back-in-the-groove,score-5,999," ""Calum Marsh""","lnx-,mac-,-ns-,-pc-,ps4-,one-",Action
26,the-occupation,score-8,999," ""David Wildgoose""","-pc-,ps4-,one-","3D,Adventure,First-Person"
27,devil-may-cry-5,score-9,8.1," ""Matt Espineli""","-pc-,ps4-,one-","Adventure,Action"
28,kirbys-extra-epic-yarn,score-9,8.3," ""Jordan Ramée""","3ds-,wii-","Platformer,Action,2D"
29,dead-or-alive-6,score-7,6.3," ""Heidi Kemps""","arc-,-pc-,ps4-,one-","3D,Action,Fighting"
30,devotion,score-9,8.7," ""Richard Wakeling""",-pc-,"Action,Adventure,Survival,3D"
31,ape-out,score-7,999," ""James O&#039;Connor""","-ns-,-pc-","Fixed-Screen,Shooter,2D,Action"
32,trials-rising,score-7,999," ""Alessandro Barbosa""","-ns-,-pc-,ps4-,one-","Arcade,Driving-Racing"
33,anthem,score-6,7.3," ""Kallie Plagge""","-pc-,ps4-,one-","Action,Role-Playing"
34,tetris-99,score-8,8," ""Peter Brown""",-ns-,"Puzzle,Matching-Stacking"
35,yo-kai-watch-3,score-6,999," ""Justin Clark""",3ds-,"Management,Role-Playing"
36,eastshade,score-9,8.7," ""David Wildgoose""","lnx-,mac-,-pc-","Adventure,First-Person,3D"
37,crackdown-3,score-5,4.1," ""Chris Pereira""","-pc-,one-","Action,Adventure"
38,far-cry-new-dawn,score-6,6," ""Edmond Tran""","-pc-,ps4-,one-","3D,Action,First-Person,Shooter"
39,jump-force,score-7,6.2," ""Jordan Ramée""","-pc-,ps4-,one-","Fighting,Action,3D"
40,metro-exodus,score-8,8.1," ""Michael Higham""","-pc-,ps4-,one-","Action,First-Person,Shooter,3D"
41,civilization-6-gathering-storm,score-9,7.6," ""David Wildgoose""","ios-,lnx-,mac-,-ns-,-pc-","Turn-Based,Strategy"
42,god-eater-3,score-6,6.1," ""Ginny Woo""","-ns-,-pc-,ps4-","Role-Playing,Action"
43,apex-legends,score-9,7.5," ""Phil Hornshaw""","-pc-,ps4-,one-","Tactical,Action,First-Person,Shooter"
44,astroneer,score-6,7," ""Alessandro Barbosa""","-pc-,one-","Adventure,Action"
45,dragon-marked-for-death,score-7,999," ""Ginny Woo""","3ds-,-ns-","Role-Playing,Action"
46,sunless-skies,score-8,999," ""David Wildgoose""","lnx-,mac-,-pc-","Adventure,Action"
